8d4  25.918 101327.176   0.179 210.830  51.693  25.780  25.500 ,63562208267673
7ef  24.659 101421.112  -8.000 337.707  56.072  24.740  24.375 ,63562208267833
7cd  24.446 101397.048  -5.997 172.027  56.568  24.740  24.406 
8d4  25.924 101328.928   0.327 212.341  51.693  25.780  25.500 
7ef  24.659 101424.160  -8.254 337.524  56.072  24.740  24.375 
7cd  24.446 101400.224  -6.262 144.134  56.187  24.740  24.406 
8d4  25.924 101332.056   0.586 210.495  51.724  25.780  25.500 
7ef  24.671 101412.456  -7.276 336.822  56.072  24.740  24.375 
7cd  24.465 101399.168  -6.172 151.824  55.752  24.740  24.406 
8d4  25.948 101335.912   0.908 208.755  51.754  25.780  25.500 
7ef  24.683 101418.992  -7.821 336.914  56.049  24.750  24.375 ,63562208271252
7cd  24.446 101400.224  -6.262 452.056  55.660  24.740  24.406 
8d4  25.948 101329.656   0.385 209.304  51.754  25.780  25.500 ,63562208272252
7ef  24.683 101422.040  -8.074 337.036  56.049  24.750  24.406 ,63562208272393
7cd  24.458 101397.400  -6.024 455.749  55.897  24.740  24.406 ,63562208272893
8d4  25.936 101338.688  -1.141 208.663  51.754  25.780  25.500 
7ef  24.677 101414.192  -7.424 337.356  56.019  24.761  24.406 ,63562208273553
7cd  24.471 101385.032  -4.999 453.216  56.164  24.740  24.437 ,63562208274032
8d4  25.942 101340.440  -1.284 209.533  51.754  25.791  25.500 
7ef  24.696 101425.544  -8.365 336.944  55.988  24.750  24.406 
7cd  24.483 101410.832  -7.144 453.201  56.278  24.740  24.437 ,63562208275192
8d4  25.948 101348.448  -1.949 204.818  51.724  25.791  25.500 
7ef  24.708 101426.000  -8.407 334.625  55.897  24.761  24.406 
7cd  24.496 101414.368  -7.435 447.708  56.278  24.750  24.437 
8d4  25.936 101335.552   0.877 184.158  51.724  25.791  25.500 
7ef  24.708 101432.080  -8.909 326.828  55.874  24.761  24.406 
7cd  24.490 101409.416  -7.028 452.758  56.278  24.750  24.437 ,63562208277472
8d4  25.948 101342.184  -1.432 205.413  51.724  25.801  25.500 
7ef  24.708 101429.040  -8.656 330.001  55.874  24.761  24.406 
7cd  24.496 101420.720  -7.963 452.896  56.133  24.750  24.437 
8d4  25.961 101342.544  -1.458 206.939  51.754  25.801  25.500 
7ef  24.721 101429.504  -8.698 329.803  55.874  24.761  24.406 
7cd  24.509 101414.712  -7.467 455.947  55.897  24.750  24.437 ,63562208279752
8d4  25.961 101348.832  -1.981 214.767  51.785  25.801  25.500 
7ef  24.727 101440.360  -9.602 333.633  55.843  24.761  24.406 
7cd  24.515 101413.304  -7.350 454.422  55.660  24.761  24.437 
8d4  25.948 101339.056  -1.167 215.042  51.838  25.801  25.500 ,63562208281413
7ef  24.733 101436.032  -9.237 332.290  55.782  24.761  24.437 
7cd  24.509 101414.712  -7.467 453.811  55.340  24.761  24.437 
8d4  25.973 101355.448  -2.536 215.408  51.899  25.801  25.531 ,63562208282552
7ef  24.739 101443.864  -9.892 332.138  55.752  24.772  24.437 
7cd  24.509 101411.528  -7.202 453.475  55.134  24.772  24.437 
8d4  25.979 101341.528  -1.373 216.110  51.991  25.801  25.531 
7ef  24.745 101427.368  -8.518 332.397  55.698  24.772  24.437 
7cd  24.521 101389.632  -5.379 454.696  54.928  24.772  24.468 
8d4  25.973 101342.912  -1.490 215.332  52.013  25.801  25.531 ,63562208284833
7ef  24.752 101410.872  -7.149 332.489  55.668  24.772  24.437 
7cd  24.515 101394.208  -5.760 457.168  54.813  24.772  24.468 
8d4  25.991 101341.896  -1.405 218.276  52.013  25.812  25.531 
7ef  24.739 101416.488  -7.615 332.626  55.668  24.782  24.437 
7cd  24.546 101403.048  -6.494 455.459  54.752  24.782  24.468 
8d4  25.967 101325.504   0.042 217.636  52.013  25.812  25.531 
7ef  24.758 101424.792  -8.302 332.702  55.637  24.782  24.468 
7cd  24.534 101399.504  -6.198 458.251  54.607  24.772  24.468 
8d4  25.991 101338.768  -1.146 223.037  51.991  25.812  25.531 
7ef  24.770 101428.280  -8.597 332.656  55.607  24.793  24.468 
7cd  24.546 101406.224  -6.758 460.281  54.462  24.782  24.468 
8d4  25.973 101327.240   0.184 227.569  51.991  25.823  25.531 
7ef  24.764 101426.552  -8.449 332.962  55.607  24.793  24.468 
7cd  24.546 101409.408  -7.023 459.915  54.340  24.782  24.468 ,63562208290053
8d4  25.973 101336.640   0.967 224.731  51.929  25.823  25.531 
7ef  24.770 101410.024  -7.076 331.695  55.637  24.804  24.468 
7cd  24.546 101393.504  -5.702 460.525  54.256  24.782  24.468 
8d4  25.985 101333.872   0.739 224.121  51.899  25.823  25.531 
7ef  24.776 101423.944  -8.233 328.430  55.607  24.804  24.468 
7cd  24.552 101398.456  -6.114 460.540  54.256  24.793  24.468 
8d4  25.967 101334.904   0.824 221.160  51.838  25.823  25.531 
7ef  24.770 101413.064  -7.329 331.192  55.515  24.804  24.468 
7cd  24.584 101413.648  -7.377 459.671  54.195  24.793  24.468 
8d4  25.967 101328.624   0.301 221.908  51.815  25.833  25.531 
7ef  24.783 101425.704  -8.381 329.650  55.431  24.815  24.468 
7cd  24.584 101400.920  -6.320 460.266  54.165  24.793  24.500 
8d4  25.979 101344.656  -1.638 217.559  51.815  25.833  25.531 
7ef  24.783 101422.656  -8.127 327.865  55.340  24.815  24.500 
7cd  24.571 101406.920  -6.817 447.921  54.112  24.793  24.500 ,63562208295773
8d4  25.973 101327.240   0.184 195.724  51.815  25.833  25.531 ,63562208296273
7ef  24.776 101408.736  -6.970 322.174  55.286  24.825  24.500 
7cd  24.584 101394.552  -5.786 443.023  54.050  24.804  24.500 
8d4  25.985 101330.752   0.480 201.187  51.785  25.833  25.531 
7ef  24.789 101415.288  -7.514 326.843  55.256  24.825  24.500 
7cd  24.596 101401.256  -6.346 441.299  54.020  24.804  24.500 
8d4  25.979 101332.128   0.591 209.350  51.785  25.833  25.531 
7ef  24.795 101423.128  -8.164 327.056  55.195  24.836  24.500 
7cd  24.590 101396.312  -5.934 438.674  53.959  24.804  24.500 
8d4  25.973 101336.640   0.967 193.588  51.754  25.844  25.562 
7ef  24.789 101418.336  -7.768 324.615  55.164  24.847  24.500 
